Timestamp,Time_Minutes,Depth_ft,WHP_psi,Hookload_kips,Flow_Rate_bpm,Temperature_F,RPM,Torque_ftlbs,Status,Alerts
2024-11-01 08:00:00,0,0,3200,125,0,72,0,0,Rigging Up,None
2024-11-01 08:15:00,15,2500,3450,215,12,78,65,2800,Running In,None
2024-11-01 08:30:00,30,5000,3680,245,15,82,70,3200,Circulating,None
2024-11-01 08:45:00,45,7500,4100,285,18,88,75,3600,Running In,None
2024-11-01 09:00:00,60,10000,4500,325,20,95,80,4200,Circulating,None
2024-11-01 09:15:00,75,12500,7800,395,22,102,85,4800,Running In,High WHP Warning
2024-11-01 09:30:00,90,14500,5200,365,20,108,78,4400,Circulating,Resolved
2024-11-01 09:45:00,105,16000,5600,385,25,115,82,4600,Running In,None
2024-11-01 10:00:00,120,17500,6100,425,28,122,88,5200,At Depth,None
2024-11-01 10:15:00,135,18000,6450,465,30,128,92,5800,Working Tools,High Hookload Warning
2024-11-01 10:30:00,150,18200,6800,445,32,132,95,6200,Setting Tools,None
2024-11-01 10:45:00,165,18500,7200,425,30,135,90,5800,Testing,None
2024-11-01 11:00:00,180,18500,7500,405,28,138,88,5400,Pulling Out,None
2024-11-01 11:15:00,195,16000,7100,385,25,132,85,5000,Pulling Out,None
2024-11-01 11:30:00,210,13500,6600,345,22,125,80,4600,Pulling Out,None
2024-11-01 11:45:00,225,11000,6100,305,20,118,75,4200,Pulling Out,None
2024-11-01 12:00:00,240,8500,5500,265,18,110,70,3800,Pulling Out,None
2024-11-01 12:15:00,255,6000,4900,225,15,102,65,3400,Pulling Out,None
2024-11-01 12:30:00,270,3500,4200,185,12,95,60,3000,Pulling Out,None
2024-11-01 12:45:00,285,1000,3600,145,10,88,55,2600,Laid Down Tools,None
2024-11-01 13:00:00,300,0,3200,95,0,82,0,0,Rigging Down,Complete
